Problem,Contest,Index,Tags,solvedCount
Journey,1476,D,"dfs and similar, dp, dsu, implementation",8100
Longest Simple Cycle,1476,C,"dp, graphs, greedy",10665
Advertising Agency,1475,E,"combinatorics, math, sortings",12050
Array Destruction,1474,C,"brute force, constructive algorithms, data structures, greedy, implementation, sortings",11595
Program,1473,D,"data structures, dp, implementation, strings",8891
No More Inversions,1473,C,"constructive algorithms, math",11996
Correct Placement,1472,E,"binary search, data structures, dp, sortings, two pointers",7332
Ceil Divisions,1469,D,"brute force, constructive algorithms, math, number theory",8840
Building a Fence,1469,C,"dp, greedy, implementation, two pointers",10111
The Robot,1468,K,"brute force, implementation",4789
Full Turn,1468,F,"geometry, hashing, number theory",3424
Firecrackers,1468,D,"binary search, sortings",4237
Hills And Valleys,1467,B,"brute force, implementation",10423
13th Labour of Heracles,1466,D,"data structures, greedy, sortings, trees",10436
Close Tuples (hard version),1462,E2,"binary search, combinatorics, implementation, math, sortings, two pointers",8638
Close Tuples (easy version),1462,E1,"binary search, combinatorics, math, sortings, two pointers",12556
Divide and Summarize,1461,D,"binary search, brute force, data structures, divide and conquer, implementation, sortings",8569
Random Events,1461,C,"dp, math, probabilities",10499
Row GCD,1458,A,"math, number theory",14618
Sequence and Swaps,1455,D,"dp, greedy, sortings",11423
Triangles,1453,C,"greedy, implementation",5882
Radio Towers,1452,D,"combinatorics, dp, math",7543
Circle Game,1451,D,"games, geometry, math",9000
Division,1444,A,"brute force, math, number theory",12089
Binary Table (Easy Version),1439,A1,"constructive algorithms, implementation",8969
Minimal Height Tree,1437,D,"graphs, greedy, shortest paths, trees",11729
Binary Search,1436,C,"binary search, combinatorics",10241
Used Markers,1431,D,"*special, greedy",419
Black Friday,1431,C,"*special, implementation",674
String Deletion,1430,D,"binary search, data structures, greedy, two pointers",8482
Non-zero Segments,1426,D,"constructive algorithms, data structures, greedy, sortings",14729
Lonely Numbers,1423,K,"binary search, math, number theory, two pointers",4401
Bargain,1422,C,"combinatorics, dp, math",7854
Sage's Birthday (hard version),1419,D2,"binary search, brute force, constructive algorithms, greedy, sortings, two pointers",13857
Killjoy,1419,C,"greedy, implementation, math",14315
Mortal Kombat Tower,1418,C,"dp, graphs, greedy, shortest paths",16570
k-Amazing Numbers,1416,A,"binary search, data structures, implementation, two pointers",11199
Shurikens,1413,D,"data structures, greedy, implementation",6149
Peaceful Rooks,1411,C,"dfs and similar, dsu, graphs",7534
Decrease the Sum of Digits,1409,D,"greedy, math",17774
Discrete Acceleration,1408,C,"binary search, dp, implementation, math, two pointers",8378
Chocolate Bunny,1407,C,"constructive algorithms, interactive, math, two pointers",10988
Link Cut Centroids,1406,C,"constructive algorithms, dfs and similar, graphs, trees",9421
Balanced Bitstring,1404,A,"implementation, strings",14225
Binary String Reconstruction,1400,C,"2-sat, brute force, constructive algorithms, greedy",16133
RPG Protagonist,1400,B,"brute force, greedy, math",10666
Binary String To Subsequences,1399,D,"constructive algorithms, data structures, greedy, implementation",16933
Good Subarrays,1398,C,"data structures, dp, math",21839
Power Sequence,1397,B,"brute force, math, number theory, sortings",13905
Multiples of Length,1396,A,"constructive algorithms, greedy, number theory",14406
Boboniu and Bit Operations,1395,C,"bitmasks, brute force, dp, greedy",13066
Pinkie Pie Eats Patty-cakes,1393,C,"constructive algorithms, greedy, math, sortings",10037
Omkar and Bed Wars,1392,D,"dp, greedy",8128
Cyclic Permutations ,1391,C,"combinatorics, dp, graphs, math",14159
Good String,1389,C,"brute force, dp, greedy, two pointers",17465
Array Walk,1389,B,"brute force, dp, greedy",14934
a-Good String,1385,D,"bitmasks, brute force, divide and conquer, dp, implementation",17454
String Transformation 1,1383,A,"dsu, graphs, greedy, sortings, strings, trees, two pointers",10002
Prefix Flip (Hard Version),1381,A2,"constructive algorithms, data structures, implementation, strings, two pointers",12443
Dubious Cyrpto,1379,B,"binary search, brute force, math, number theory",12148
Acacius and String,1379,A,"brute force, implementation, strings",11238
Reading Books (easy version),1374,E1,"data structures, greedy, sortings",13097
Maximum Sum on Even Positions,1373,D,"divide and conquer, dp, greedy, implementation",14360
Omkar and Baseball,1372,C,"constructive algorithms, math",16811
Grid-00100,1371,D,"constructive algorithms, greedy, implementation",12571
"AND, OR and square sum",1368,D,"bitmasks, greedy, math",10768
Even Picture,1368,C,constructive algorithms,12771
Codeforces Subsequences,1368,B,"brute force, constructive algorithms, greedy, math, strings",18286
Palindromic Paths,1366,C,"greedy, math",12888
Solve The Maze,1365,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths",15080
Ehab and Prefix MEXs,1364,C,"brute force, constructive algorithms, greedy",12316
Game On Leaves,1363,C,"games, trees",16994
Johnny and Contribution,1361,A,"constructive algorithms, graphs, greedy, sortings",8022
Spy-string,1360,F,"bitmasks, brute force, constructive algorithms, dp, hashing, strings",11419
Mixing Water,1359,C,"binary search, math",12799
Celex Update,1358,C,math,16477
Constructing the Array,1353,D,"constructive algorithms, data structures, sortings",16639
Special Permutation,1352,G,constructive algorithms,18423
Binary String Reconstruction,1352,F,"constructive algorithms, dfs and similar, math",15203
Special Elements,1352,E,"brute force, implementation, two pointers",17741
Orac and LCM,1349,A,"data structures, math, number theory",14996
Phoenix and Distribution,1348,C,"constructive algorithms, greedy, sortings, strings",13892
Magic Tricks,1346,E,"*special, dp, graphs",341
Constructing the Dungeon,1346,D,"*special, graphs, greedy",457
Spring Cleaning,1346,C,"*special, greedy, sortings",558
Hilbert's Hotel,1344,A,"math, number theory, sortings",14861
Constant Palindrome Sum,1343,D,"brute force, data structures, greedy, two pointers",11881
Yet Another Counting Problem,1342,C,"math, number theory",13297
Nastya and Scoreboard,1340,B,"bitmasks, dp, graphs, greedy",7464
Nastya and Strange Generator,1340,A,"brute force, data structures, greedy, implementation",13008
Powered Addition,1338,A,"greedy, math",21441
Xenia and Colorful Gems,1336,B,"binary search, greedy, math, sortings, two pointers",10756
Linova and Kingdom,1336,A,"dfs and similar, dp, greedy, sortings, trees",18374
Three Blocks Palindrome (easy version),1335,E1,"binary search, brute force, data structures, dp, two pointers",10124
Circle of Monsters,1334,C,"brute force, constructive algorithms, greedy, math",15567
Eugene and an array,1333,C,"binary search, data structures, implementation, two pointers",11801
Walk on Matrix,1332,D,"bitmasks, constructive algorithms, math",7710
K-Complete Word,1332,C,"dfs and similar, dsu, greedy, implementation, strings",15058
Dreamoon Likes Sequences,1329,B,"bitmasks, combinatorics, math",6235
Game with Chips,1327,C,"constructive algorithms, implementation",12792
Prefix-Suffix Palindrome (Easy version),1326,D1,"hashing, string suffix structures, strings",11286
Ehab the Xorcist,1325,D,"bitmasks, constructive algorithms, greedy, number theory",11047
Ehab and Path-etic MEXs,1325,C,"constructive algorithms, dfs and similar, greedy, trees",12489
Sleeping Schedule,1324,E,"dp, implementation",11653
Count Subrectangles,1323,B,"binary search, greedy, implementation",8237
Remove Adjacent,1321,C,"brute force, constructive algorithms, greedy, strings",9221
Navigation System,1320,B,"dfs and similar, graphs, shortest paths",5641
Skyscrapers (easy version),1313,C1,"brute force, data structures, dp, greedy",9736
Different Rules,1313,B,"constructive algorithms, greedy, implementation, math",6305
Count the Arrays,1312,D,"combinatorics, math",8553
Recommendations,1310,A,"data structures, greedy, sortings",4802
Cow and Message,1307,C,"brute force, dp, math, strings",11262
Kuroni and Impossible Calculation,1305,C,"brute force, combinatorics, math, number theory",12800
Air Conditioner,1304,C,"dp, greedy, implementation, sortings, two pointers",15039
Perfect Keyboard,1303,C,"dfs and similar, greedy, implementation",11499
Ayoub's function,1301,C,"binary search, combinatorics, greedy, math, strings",8824
Motarack's Birthday,1301,B,"binary search, greedy, ternary search",13485
Anu Has a Function,1299,A,"brute force, greedy, math",11374
Fight with Monsters,1296,D,"greedy, sortings",13431
Yet Another Walking Robot,1296,C,"data structures, implementation",13980
Obtain The String,1295,C,"dp, greedy, strings",12181
Infinite Prefixes,1295,B,"math, strings",8884
MEX maximizing,1294,D,"data structures, greedy, implementation, math",10887
Aroma's Search,1292,B,"brute force, constructive algorithms, geometry, greedy, implementation",5810
Mind Control,1290,A,"brute force, data structures, implementation",8138
Two Arrays,1288,C,"combinatorics, dp",11705
Hyperset,1287,B,"brute force, data structures, implementation",8951
New Year and Permutation,1284,C,"combinatorics, math",7474
Friends and Gifts,1283,C,"constructive algorithms, data structures, math",12353
K for the Price of One (Hard Version),1282,B2,"dp, greedy, sortings",9559
Azamon Web Services,1281,B,greedy,7836
Cut and Paste,1280,A,"implementation, math",4965
