Contest,Index,Name,Tags
328,B,Sheldon and Ice Pieces,greedy
327,C,Magic Five,"combinatorics, math"
325,A,Square and Rectangles,implementation
323,A,Black-and-White Cube,"combinatorics, constructive algorithms"
322,B,Ciel and Flowers,"combinatorics, math"
321,A,Ciel and Robot,"binary search, implementation, math"
320,B,Ping-Pong (Easy Version),"dfs and similar, graphs"
319,A,Malek Dance Club,"combinatorics, math"
317,A,Perfect Pair,brute force
316,G1,Good Substrings,"hashing, strings"
316,E1,Summer Homework,"brute force, data structures"
316,B2,EKG,"dfs and similar, dp"
316,B1,EKG,"brute force, dfs and similar"
314,A,Sereja and Contest,implementation
305,C,Ivan and Powers of Two,"greedy, implementation"
305,B,Continued Fractions,"brute force, implementation, math"
305,A,Strange Addition,"brute force, constructive algorithms, implementation"
303,B,Rectangle Puzzle II,"implementation, math"
300,B,Coach,"brute force, dfs and similar, graphs"
297,B,Fish Weight,"constructive algorithms, greedy"
297,A,Parity Game,constructive algorithms
295,B,Greg and Graph,"dp, graphs, shortest paths"
294,B,Shaass and Bookshelf,"dp, greedy"
293,A,Weird Game,"games, greedy"
291,D,Parallel Programming,"*special, greedy"
291,C,Network Mask,"*special, bitmasks, brute force, implementation"
290,C,WTF?,"*special, graph matchings, implementation, trees"
290,B,QR code,"*special, implementation"
288,C,Polo the Penguin and XOR operation,"implementation, math"
288,B,Polo the Penguin and Houses ,combinatorics
287,B,Pipeline,"binary search, math"
283,B,Cow Program,"dfs and similar, dp, graphs"
283,A,Cows and Sequence,"constructive algorithms, data structures, implementation"
282,C,XOR and OR,"constructive algorithms, implementation, math"
282,B,Painting Eggs,"greedy, math"
281,B,Nearest Fraction,"brute force, implementation, two pointers"
279,C,Ladder,"dp, implementation, two pointers"
278,B,New Problem,"brute force, strings"
276,D,Little Girl and Maximum XOR,"bitmasks, dp, greedy, implementation, math"
276,C,Little Girl and Maximum Sum,"data structures, greedy, implementation, sortings"
275,B,Convex Shape,"constructive algorithms, implementation"
274,A,k-Multiple Free Set,"binary search, greedy, sortings"
272,D,Dima and Two Sequences,"combinatorics, math, sortings"
272,C,Dima and Staircase,"data structures, implementation"
271,C,Secret,"constructive algorithms, implementation"
269,B,Greenhouse Effect,dp
269,A,Magical Boxes,"greedy, math"
268,C,Beautiful Sets of Points,"constructive algorithms, implementation"
264,B,Good Sequences,"dp, number theory"
260,C,Balls and Boxes,"constructive algorithms, greedy, implementation"
260,B,Ancient Prophesy,"brute force, implementation, strings"
255,C,Almost Arithmetical Progression,"brute force, dp"
254,B,Jury Size,"brute force, implementation"
253,C,Text Editor,"data structures, dfs and similar, graphs, greedy, shortest paths"
250,C,Movie Critics,greedy
250,B,Restoring IPv6,"implementation, strings"
246,D,Colorful Graph,"brute force, dfs and similar, graphs"
246,C,Beauty Pageant,"brute force, constructive algorithms, greedy"
245,D,Restoring Table,"constructive algorithms, greedy"
245,C,Game with Coins,greedy
244,B,Undoubtedly Lucky Numbers,"bitmasks, brute force, dfs and similar"
243,A,The Brand New Function,bitmasks
239,B,Easy Tape Programming,"brute force, implementation"
237,C,Primes on Interval,"binary search, number theory, two pointers"
237,B,Young Table,"implementation, sortings"
235,A,LCM Challenge,number theory
234,G,Practice,"constructive algorithms, divide and conquer, implementation"
234,E,Champions' League,implementation
234,D,Cinema,implementation
232,A,Cycles,"binary search, constructive algorithms, graphs, greedy"
231,D,Magic Box,"brute force, geometry"
231,C,To Add or Not to Add,"binary search, sortings, two pointers"
231,B,"Magic, Wizardry and Wonders","constructive algorithms, greedy"
229,B,Planets,"binary search, data structures, graphs, shortest paths"
229,A,Shifts,"brute force, two pointers"
225,C,Barcode,"dp, matrices"
225,B,Well-known Numbers,"binary search, greedy, number theory"
224,B,Array,"bitmasks, implementation, two pointers"
223,A,Bracket Sequence,"data structures, expression parsing, implementation"
219,D,Choosing Capital for Treeland,"dfs and similar, dp, graphs, trees"
219,C,Color Stripe,"brute force, dp, greedy"
216,D,Spider's Web,"binary search, sortings, two pointers"
216,B,Forming Teams,"dfs and similar, implementation"
214,B,Hometask,"brute force, constructive algorithms, greedy, math"
213,A,Game,"dfs and similar, greedy"
212,E,IT Restaurants,"dfs and similar, dp, trees"
209,A,Multicolored Marbles,"dp, math"
207,D7,The Beaver's Problem - 3,
207,D5,The Beaver's Problem - 3,
207,B3,Military Trainings,
207,B1,Military Trainings,
207,A1,Beaver's Calculator 1.0,greedy
204,B,Little Elephant and Cards,"binary search, data structures"
204,A,Little Elephant and Interval,"binary search, combinatorics, dp"
203,D,Hit Ball,"geometry, implementation, math"
202,B,Brand New Easy Problem,brute force
201,A,Clear Symmetry,"constructive algorithms, dp, math"
198,A,About Bacteria,"implementation, math"
197,A,Plate Game,"constructive algorithms, games, math"
193,A,Cutting Figure,"constructive algorithms, graphs, trees"
191,B,Demonstration,greedy
191,A,Dynasty Puzzles,dp
190,C,STL,dfs and similar
188,G,Array Sorting,"*special, implementation"
187,A,Permutations,greedy
183,B,Zoo,"brute force, geometry"
183,A,Headquarters,"constructive algorithms, math"
178,D1,Magic Squares,
178,C1,Smart Beaver and Resolving Collisions,
178,B2,Greedy Merchants,
178,B1,Greedy Merchants,
177,E1,Space Voyage,binary search
177,D2,Encrypting Messages,data structures
177,C2,Party,"brute force, dfs and similar, dsu, graphs"
177,C1,Party,"dfs and similar, dsu, graphs"
176,B,Word Cut,dp
175,C,Geometry Horse,"greedy, implementation, sortings, two pointers"
172,D,Calendar Reform,"*special, number theory"
172,C,Bus,"*special, implementation, sortings"
171,H,A polyline,"*special, implementation"
171,G,Mysterious numbers - 2,*special
171,F,ucyhf,"*special, brute force, implementation, number theory"
168,B,Wizards and Minimal Spell,"implementation, strings"
167,A,Wizards and Trolleybuses,"implementation, math"
166,E,Tetrahedron,"dp, math, matrices"
166,C,Median,"greedy, math, sortings"
165,C,Another Problem on Strings,"binary search, brute force, dp, math, strings, two pointers"
165,B,Burning Midnight Oil,"binary search, implementation"
164,A,"Variable, or There and Back Again","dfs and similar, graphs"
163,A,Substring and Subsequence,dp
161,B,Discounts,"constructive algorithms, greedy, sortings"
160,C,Find Pair,"implementation, math, sortings"
159,E,Zebra Tower,"*special, data structures, greedy, sortings"
159,D,Palindrome pairs,"*special, brute force, dp, strings"
156,B,Suspects,"constructive algorithms, data structures, implementation"
156,A,Message,brute force
154,B,Colliders,"math, number theory"
154,A,Hometask,greedy
153,A,A + B,*special
150,B,Quantity of Strings,"combinatorics, dfs and similar, graphs, math"
149,C,Division into Teams,"greedy, math, sortings"
149,B,Martian Clock,implementation
148,C,Terse princess,"constructive algorithms, greedy"
148,B,Escape,"implementation, math"
144,C,Anagram Search,"implementation, strings"
142,A,Help Farmer,"brute force, math"
140,A,New Year Table,"geometry, math"
139,B,Wallpaper,"implementation, math"
138,A,Literature Lesson,implementation
137,C,History,sortings
135,B,Rectangle and Square,"brute force, geometry, math"
131,E,Yet Another Task with Queens,sortings
131,D,Subway,"dfs and similar, graphs"
130,H,Balanced brackets,*special
130,G,CAPS LOCK ON,*special
130,F,Prime factorization,*special
130,E,Tribonacci numbers,*special
130,D,Exponentiation,*special
130,C,Decimal sum,*special
128,A,Statues,dfs and similar
126,B,Password,"binary search, dp, hashing, string suffix structures, strings"
125,C,Hobbits' Party,"constructive algorithms, greedy"
121,B,Lucky Transformation,strings
118,D,Caesar's Legions,dp
115,B,Lawnmower,"greedy, sortings"
114,B,PFAST Inc.,"bitmasks, brute force, graphs"
113,A,Grammar Lessons,"implementation, strings"
107,B,Basketball Team,"combinatorics, dp, math, probabilities"
106,D,Treasure Island,"brute force, implementation"
106,C,Buns,dp
105,A,Transmigration,implementation
103,B,Cthulhu,"dfs and similar, dsu, graphs"
101,B,Buses,"binary search, data structures, dp"
100,I,Rotation,"*special, geometry, math"
100,E,Lamps in a Line,"*special, math"
100,D,World of Mouth,"*special, strings"
100,B,Friendly Numbers,"*special, implementation"
98,A,Help Victoria the Wise,"brute force, implementation"
95,A,Hockey,"implementation, strings"
93,A,Frames,implementation
91,B,Queue,"binary search, data structures"
91,A,Newspaper Headline,"greedy, strings"
88,B,Keyboard,implementation
87,A,Trains,"implementation, math"
86,A,Reflection,math
84,C,Biathlon,"binary search, implementation"
82,B,Sets,"constructive algorithms, hashing, implementation"
81,C,Average Score,"greedy, math, sortings"
81,B,Sequence Formatting,"implementation, strings"
76,E,Points,"implementation, math"
76,D,Plus and xor,"dp, greedy, math"
75,C,Modified GCD,"binary search, number theory"
75,B,Facetook Priority Wall,"expression parsing, implementation, strings"
74,B,Train,"dp, games, greedy"
73,A,The Elder Trolls IV: Oblivon,"greedy, math"
72,I,Goofy Numbers,"*special, implementation"
72,H,Reverse It!,"*special, implementation"
71,C,Round Table Knights,"dp, math, number theory"
70,B,Text Messaging,"expression parsing, greedy, strings"
68,B,Energy exchange,binary search
66,D,Petya and His Friends,"constructive algorithms, math, number theory"
65,B,Harry Potter and the History of Magic,"brute force, greedy, implementation"
64,C,Table,"*special, greedy, implementation, math"
64,B,Expression,"*special, expression parsing"
63,C,Bulls and Cows,"brute force, implementation"
59,C,Title,expression parsing
57,B,Martian Architecture,implementation
56,C,Corporation Mail,"data structures, expression parsing, implementation"
55,B,Smallest number,brute force
53,D,Physical Education,sortings
53,B,Blog Photo,"binary search, implementation"
52,B,Right Triangles,combinatorics
51,B,bHTML Tables Analisys,expression parsing
50,B,Choosing Symbol Pairs,strings
49,C,Disposition,"constructive algorithms, math"
49,B,Sum,math
48,D,Permutations,greedy
46,C,Hamsters and Tigers,two pointers
44,H,Phone Number,dp
44,B,Cola,implementation
42,B,Game of chess unfinished,implementation
40,B,Repaintings,math
39,J,Spelling Check,"hashing, implementation, strings"
36,B,Fractal,implementation
35,D,Animals,"dp, greedy"
35,C,Fire Again,"brute force, dfs and similar, shortest paths"
35,B,Warehouse,implementation
34,D,Road Map,"dfs and similar, graphs"
32,D,Constellation,implementation
32,C,Flea,math
31,C,Schedule,implementation
31,B,Sysadmin Bob,"greedy, implementation, strings"
30,B,Codeforces World Finals,implementation
29,C,Mail Stamps,"data structures, dfs and similar, graphs, implementation"
29,B,Traffic Lights,implementation
28,B,pSort,"dfs and similar, dsu, graphs"
28,A,Bender Problem,implementation
24,B,F1 Champions,implementation
23,B,Party,"constructive algorithms, graphs, math"
22,C,System Administrator,graphs
22,B,Bargaining Table,"brute force, dp"
20,A,BerOS file system,implementation
18,B,Platforms,"brute force, math"
18,A,Triangle,"brute force, geometry"
17,B,Hierarchy,"dfs and similar, dsu, greedy, shortest paths"
14,C,Four Segments,"brute force, constructive algorithms, geometry, implementation, math"
11,B,Jumping Jack,math
10,B,Cinema Cashier,"dp, implementation"
7,B,Memory Manager,implementation
4,D,Mysterious Present,"dp, sortings"
2,A,Winner,"hashing, implementation"
1,B,Spreadsheet,"implementation, math"
