Contest,Index,Name,Tags
1539,D,PriceFixed,"binary search, greedy, implementation, sortings, two pointers"
1538,F,Interesting Function,"binary search, dp, math, number theory"
1538,D,Another Problem About Dividing Numbers,"constructive algorithms, math, number theory"
1537,E1,Erase and Extend (Easy Version),"binary search, brute force, dp, greedy, hashing, implementation, string suffix structures, strings, two pointers"
1537,D,Deleting Divisors,"games, math, number theory"
1536,C,Diluc and Kaeya,"data structures, dp, hashing, number theory"
1530,D,Secret Santa,"constructive algorithms, flows, graphs, greedy, math"
1528,B,Kavi on Pairing Duty,"combinatorics, dp, math"
1528,A,Parsa's Humongous Tree,"dfs and similar, divide and conquer, dp, greedy, trees"
1527,C,Sequence Pair Weight,"hashing, implementation, math"
1526,C2,Potions (Hard Version),"data structures, greedy"
1526,C1,Potions (Easy Version),"brute force, data structures, dp, greedy"
1523,C,Compression and Expansion,"brute force, data structures, greedy, implementation, trees"
1520,F1,Guess the K-th Zero (Easy version),"binary search, interactive"
1519,D,Maximum Sum of Products,"brute force, dp, implementation, math, two pointers"
1516,C,Baby Ehab Partitions Again,"bitmasks, constructive algorithms, dp, math"
1516,B,AGAGA XOOORRR,"bitmasks, brute force, dp, greedy"
1515,D,Phoenix and Socks,"greedy, sortings, two pointers"
1514,C,Product 1 Modulo N,"greedy, number theory"
1513,C,Add One,"dp, matrices"
1512,G,Short Task,"brute force, dp, math, number theory"
1512,E,Permutation by Sum,"brute force, greedy, math"
1511,D,Min Cost String,"brute force, constructive algorithms, graphs, greedy, strings"
1506,E,Restoring the Permutation,"constructive algorithms, implementation"
1505,B,DMCA,"*special, implementation, number theory"
1503,B,3-Coloring,"constructive algorithms, games, interactive"
1503,A,Balance the Bits,"constructive algorithms, greedy"
1499,C,Minimum Grid Path,"brute force, data structures, greedy, math"
1498,C,Planar Reflections,"brute force, data structures, dp"
1497,E1,Square-Free Division (easy version),"data structures, dp, greedy, math, number theory, two pointers"
1497,C2,k-LCM (hard version),"constructive algorithms, math"
1492,C,Maximum width,"binary search, data structures, dp, greedy, two pointers"
1491,C,Pekora and Trampoline,"brute force, data structures, dp, greedy, implementation"
1490,F,Equalize the Array,"binary search, data structures, greedy, math, sortings"
1487,D,Pythagorean Triples,"binary search, brute force, math, number theory"
1487,C,Minimum Ties,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation, math"
1486,C1,Guessing the Greatest (easy version),"binary search, interactive"
1486,B,Eastern Exhibition,"binary search, geometry, shortest paths, sortings"
1485,C,Floor and Mod,"binary search, brute force, math, number theory"
1482,C,Basic Diplomacy,"brute force, constructive algorithms, greedy, implementation"
1482,B,Restore Modulo,"implementation, math"
1481,C,Fence Painting,"brute force, constructive algorithms, greedy"
1479,A,Searching Local Minimum,"binary search, interactive, ternary search"
1478,C,Nezzar and Symmetric Array,"implementation, math, sortings"
1476,D,Journey,"dfs and similar, dp, dsu, implementation"
1476,C,Longest Simple Cycle,"dp, graphs, greedy"
1475,E,Advertising Agency,"combinatorics, math, sortings"
1474,C,Array Destruction,"brute force, constructive algorithms, data structures, greedy, implementation, sortings"
1473,D,Program,"data structures, dp, implementation, strings"
1473,C,No More Inversions,"constructive algorithms, math"
1472,E,Correct Placement,"binary search, data structures, dp, sortings, two pointers"
1469,D,Ceil Divisions,"brute force, constructive algorithms, math, number theory"
1469,C,Building a Fence,"dp, greedy, implementation, two pointers"
1468,K,The Robot,"brute force, implementation"
1468,F,Full Turn,"geometry, hashing, number theory"
1468,D,Firecrackers,"binary search, sortings"
1467,B,Hills And Valleys,"brute force, implementation"
1466,D,13th Labour of Heracles,"data structures, greedy, sortings, trees"
1462,E2,Close Tuples (hard version),"binary search, combinatorics, implementation, math, sortings, two pointers"
1462,E1,Close Tuples (easy version),"binary search, combinatorics, math, sortings, two pointers"
1461,D,Divide and Summarize,"binary search, brute force, data structures, divide and conquer, implementation, sortings"
1461,C,Random Events,"dp, math, probabilities"
1458,A,Row GCD,"math, number theory"
1455,D,Sequence and Swaps,"dp, greedy, sortings"
1453,C,Triangles,"greedy, implementation"
1452,D,Radio Towers,"combinatorics, dp, math"
1451,D,Circle Game,"games, geometry, math"
1444,A,Division,"brute force, math, number theory"
1439,A1,Binary Table (Easy Version),"constructive algorithms, implementation"
1437,D,Minimal Height Tree,"graphs, greedy, shortest paths, trees"
1436,C,Binary Search,"binary search, combinatorics"
1431,D,Used Markers,"*special, greedy"
1431,C,Black Friday,"*special, implementation"
1430,D,String Deletion,"binary search, data structures, greedy, two pointers"
1426,D,Non-zero Segments,"constructive algorithms, data structures, greedy, sortings"
1423,K,Lonely Numbers,"binary search, math, number theory, two pointers"
1422,C,Bargain,"combinatorics, dp, math"
1419,D2,Sage's Birthday (hard version),"binary search, brute force, constructive algorithms, greedy, sortings, two pointers"
1419,C,Killjoy,"greedy, implementation, math"
1418,C,Mortal Kombat Tower,"dp, graphs, greedy, shortest paths"
1416,A,k-Amazing Numbers,"binary search, data structures, implementation, two pointers"
1413,D,Shurikens,"data structures, greedy, implementation"
1411,C,Peaceful Rooks,"dfs and similar, dsu, graphs"
1409,D,Decrease the Sum of Digits,"greedy, math"
1408,C,Discrete Acceleration,"binary search, dp, implementation, math, two pointers"
1407,C,Chocolate Bunny,"constructive algorithms, interactive, math, two pointers"
1406,C,Link Cut Centroids,"constructive algorithms, dfs and similar, graphs, trees"
1404,A,Balanced Bitstring,"implementation, strings"
1400,C,Binary String Reconstruction,"2-sat, brute force, constructive algorithms, greedy"
1400,B,RPG Protagonist,"brute force, greedy, math"
1399,D,Binary String To Subsequences,"constructive algorithms, data structures, greedy, implementation"
1398,C,Good Subarrays,"data structures, dp, math"
1397,B,Power Sequence,"brute force, math, number theory, sortings"
1396,A,Multiples of Length,"constructive algorithms, greedy, number theory"
1395,C,Boboniu and Bit Operations,"bitmasks, brute force, dp, greedy"
