Handle,Max Rating_x,Result,Max Rating_y
pavlukivan,1825,Yes,1825
goats_9,1827,Yes,1827
Wutip,1789,Yes,1789
_lao_ya,1870,Yes,1870
giao1,1736,Yes,1736
15372583O23,1735,Yes,1717
GreenKitty,1756,Yes,1756
chinawcp,1883,Yes,1883
Sambasai,1753,Yes,1753
chmpy,1801,Yes,1801
zwh_zzz,1820,Yes,1820
Numinous,1811,Yes,1811
dota2_player,1731,Yes,1731
lizhiqing,1758,Yes,1758
WildWeasel,1745,Yes,1745
naumovRD,1802,Yes,1802
Saanteye,1875,Yes,1875
Ferrriccc,1848,Yes,1848
hhhhhl,1934,Yes,1934
pseong,1844,Yes,1844
miniL,1950,Yes,1950
Mahm2od,1785,Yes,1785
ParadigmShift,1726,Yes,1719
TnMurder5000,1726,Yes,1714
jimmyF,1726,Yes,1726
Stormersyle,1788,Yes,1788
El_Medonho,1935,Yes,1935
PROELECTRO444,1788,Yes,1788
groundtruth,1724,Yes,1724
masttf,1727,Yes,1727
nanwang,1759,Yes,1759
EmadSamy,1821,Yes,1821
woertt,1719,Yes,1498
CyberSleeper,1782,Yes,1782
KrisjanisP,1902,Yes,1902
nyaaaayn,1718,Yes,1692
partTimeIntern,1718,Yes,1718
zhaopipichishi,1718,Yes,1716
Nahida__,1804,Yes,1804
MadRat_2,1726,Yes,1726
ericskh2,1829,Yes,1829
IS_Rushdi,1715,Yes,1715
jackson.souza,1912,Yes,1912
naniim,1888,Yes,1888
ailes,1820,Yes,1820
swayingdream,1805,Yes,1805
vovanstrr,1960,Yes,1960
Desh01,1770,Yes,1770
shivamshekhar010,1993,Yes,1993
ShadowRainger,1708,Yes,1708
pretodf,1708,Yes,1708
mzmz001,1724,Yes,1724
woaihutao,1762,Yes,1762
SunlightZero,1705,Yes,1682
ninjamayank,1793,Yes,1793
os-moussao,1755,Yes,1755
stash,1795,Yes,1795
1046654833,1805,Yes,1805
66H6,1827,Yes,1827
Bob,1899,Yes,1899
GenGenM,1841,Yes,1841
orange_juice_1024,1703,Yes,1703
zzh00195,1826,Yes,1826
Little_Xi,1702,Yes,1702
avatsavirsa,1723,Yes,1723
shiqiaqiaya,1713,Yes,1713
whutzym,1702,Yes,1652
TLE_Automat,1869,Yes,1869
harryzhengipsum,1897,Yes,1897
HediChehaidar,1968,Yes,1968
huyaowen,1761,Yes,1761
Yuuukkk,1699,Yes,1699
BroHit,1729,Yes,1729
CJ17,1865,Yes,1865
NaCly-fish,1698,Yes,1698
barats,1869,Yes,1869
radi__07,1699,Yes,1699
