Handle,Max Rating_x,Result,Max Rating_y
qwusha,1926,Yes,1926
zwp111,1849,Yes,1849
EasonCookie197,2062,Yes,2062
KaranBardhan,2015,Yes,2015
LaPluma,1850,Yes,1850
redcircle,1842,Yes,1792
IceWolf898,1839,Yes,1815
Rayanx,1839,Yes,1839
hackerchr,1901,Yes,1901
BlueBerryBush,2104,Yes,2104
HitmanX97,1837,Yes,1826
scutsky,1837,Yes,1737
viniciusth,2010,Yes,2010
0x3b800001,1886,Yes,1886
rajbunsha,1836,Yes,1776
Ja711,1899,Yes,1899
LZX_OVO,1834,Yes,1834
jainmilind,1895,Yes,1895
HPG_KI_MAA_KI_CHUT,1832,Yes,1832
kira1433,1917,Yes,1917
Amirreza-Fakhri,1831,Yes,1757
Gujialiang270,1871,Yes,1871
YWDJ,1898,Yes,1898
planes,2054,Yes,2054
Darkshadow123624,1944,Yes,1944
TheOpChicken123,1870,Yes,1870
Zobayer_Abedin,1843,Yes,1843
pupsicek,1826,Yes,1802
pyldalao,1888,Yes,1888
_Gawd_,2003,Yes,2003
NanYangNanChui,1822,Yes,1790
Physics212303,1822,Yes,1822
xcc_szy09051,1933,Yes,1933
pengyantong,1880,Yes,1880
zawatin,1872,Yes,1872
Manchester_Fairytales,1817,Yes,1817
TheDarkForest,1816,Yes,1816
Ryuga_,1814,Yes,1814
Ghulam_Junaid,1864,Yes,1864
blue_ice_yj,1907,Yes,1907
DevMAG,1811,Yes,1811
dayalk,1811,Yes,1811
sos89756,1892,Yes,1892
NMD2k6tg,1809,Yes,1809
Lemontea_,1808,Yes,1808
NourhanHanna,1950,Yes,1950
Yaman_Alwaza,1835,Yes,1835
Shirabuki,1911,Yes,1911
cepher01,1888,Yes,1888
kaztaev,1913,Yes,1913
xelsink1,1806,Yes,1806
MATHEMATICS_2022,1804,Yes,1780
Sabbir1807070,1804,Yes,1802
tanaka255,1870,Yes,1870
bestial-42-centroids,1802,Yes,1801
codeBegins,1801,Yes,1801
harshaa05,1985,Yes,1985
thisislike,1801,Yes,1764
jg_in_cf,1800,Yes,1780
Abhishek_Srivastava,1956,Yes,1956
zhasyn20,1905,Yes,1905
BrehamPie,1956,Yes,1956
derug_,1880,Yes,1880
flygon,2043,Yes,2043
kazeninvladimir,1897,Yes,1897
buleeyes,1823,Yes,1823
shyamer3,1862,Yes,1862
jzhsh1735,1867,Yes,1867
edwardnvv57k,1803,Yes,1803
njustbacon,1812,Yes,1812
secret-550504,1930,Yes,1930
Kither,1834,Yes,1834
klausXbansal,1892,Yes,1892
Mispertion,1842,Yes,1842
Aldk,1885,Yes,1885
reyaan44,1958,Yes,1958
gucci0512,1905,Yes,1905
Haricharan_B,1913,Yes,1913
Alexfil,1854,Yes,1854
CF.Symphonia,2074,Yes,2074
Eshirahh,1901,Yes,1901
shreyanshshikhar2910,1831,Yes,1831
CarlosS48,1854,Yes,1854
Sanam007,1892,Yes,1892
