Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Vaccination,1804,B,"greedy, implementation",,,,,,,,,,
Settlement of Guinea Pigs,1802,B,"greedy, implementation, math",,,,,,,,,,
Likes,1802,A,"greedy, implementation",,,,,,,,,,
Symmetree,1800,G,"dfs and similar, hashing, implementation, trees",,,,,,,,,,
Is It a Cat?,1800,A,"implementation, strings",,,,,,,,,,
City Union,1799,E,"constructive algorithms, dfs and similar, dsu, geometry, greedy, implementation, math",,,,,,,,,,
Recent Actions,1799,A,"data structures, greedy, implementation, math",,,,,,,,,,
Three Sevens,1798,B,"brute force, data structures, greedy, implementation",,,,,,,,,,
Showstopper,1798,A,"greedy, implementation, sortings",,,,,,,,,,
Li Hua and Tree,1797,D,"brute force, data structures, dfs and similar, dp, implementation, trees",,,,,,,,,,
Li Hua and Maze,1797,A,"constructive algorithms, flows, graphs, greedy, implementation",,,,,,,,,,
Asterisk-Minor Template,1796,B,"implementation, strings",,,,,,,,,,
Typical Interview Problem,1796,A,"brute force, implementation, strings",,,,,,,,,,
Tea Tasting,1795,C,"binary search, data structures, implementation",,,,,,,,,,
Two Towers,1795,A,"brute force, implementation, strings",,,,,,,,,,
Labeling the Tree with Distances,1794,E,"data structures, dp, greedy, hashing, implementation, trees",,,,,,,,,,
Rebrending,1793,F,"brute force, data structures, divide and conquer, implementation",,,,,,,,,,
Moscow Gorillas,1793,D,"binary search, dp, greedy, implementation, math, two pointers",,,,,,,,,,
Prepend and Append,1791,C,"implementation, two pointers",,,,,,,,,,
Following Directions,1791,B,"geometry, implementation",,,,,,,,,,
Codeforces Checking,1791,A,"implementation, strings",,,,,,,,,,
Premutation,1790,C,"brute force, implementation, math",,,,,,,,,,
Polycarp and the Day of Pi,1790,A,"implementation, math, strings",,,,,,,,,,
Serval and Brain Power,1789,F,"bitmasks, brute force, dp, greedy, implementation, strings",,,,,,,,,,
Serval and Music Game,1789,E,"brute force, dp, implementation, math, number theory",,,,,,,,,,
Serval and Shift-Shift-Shift,1789,D,"bitmasks, brute force, constructive algorithms, implementation",,,,,,,,,,
Serval and Toxel's Arrays,1789,C,"combinatorics, dp, implementation, math",,,,,,,,,,
Serval and Inversion Magic,1789,B,"brute force, implementation, strings, two pointers",,,,,,,,,,
"XOR, Tree, and Queries",1788,F,"bitmasks, constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, trees",,,,,,,,,,
Sum of Two Numbers,1788,B,"constructive algorithms, greedy, implementation, math, probabilities",,,,,,,,,,
One and Two,1788,A,"brute force, implementation, math",,,,,,,,,,
Inverse Transformation,1787,F,"constructive algorithms, implementation, math",,,,,,,,,,
Game on Axis,1787,D,"combinatorics, dfs and similar, dsu, graphs, implementation",,,,,,,,,,
Alternating Deck (hard version),1786,A2,implementation,,,,,,,,,,
Non-alternating Deck (easy version),1786,A1,implementation,,,,,,,,,,
Weighed Tree Radius,1783,G,"data structures, divide and conquer, implementation, trees",,,,,,,,,,
Different Arrays,1783,D,"brute force, dp, implementation",,,,,,,,,,
Rectangle Shrinking,1781,E,"binary search, brute force, data structures, greedy, implementation, two pointers",,,,,,,,,,
Equal Frequencies,1781,C,"brute force, constructive algorithms, greedy, implementation, sortings, strings",,,,,,,,,,
Flip Flop Sum,1778,A,"greedy, implementation",,,,,,,,,,
The Human Equation,1775,E,"greedy, implementation",,,,,,,,,,
Gardener and the Capybaras (easy version),1775,A1,"brute force, constructive algorithms, implementation",,,,,,,,,,
Magician and Pigs (Hard Version),1774,F2,"binary search, brute force, data structures, implementation",,,,,,,,,,
Magician and Pigs (Easy Version),1774,F1,"brute force, data structures, implementation",,,,,,,,,,
Same Count One,1774,D,"brute force, constructive algorithms, greedy, implementation, two pointers",,,,,,,,,,
Interactive Factorial Guessing,1773,I,"brute force, games, implementation, interactive",,,,,,,,,,
BinCoin,1773,B,"binary search, divide and conquer, hashing, implementation, probabilities, trees",,,,,,,,,,
Gaining Rating,1772,G,"binary search, greedy, implementation, math, sortings, two pointers",,,,,,,,,,
Copy of a Copy of a Copy,1772,F,"constructive algorithms, dfs and similar, graphs, implementation, sortings",,,,,,,,,,
Matrix Rotation,1772,B,"brute force, implementation",,,,,,,,,,
A+B?,1772,A,implementation,,,,,,,,,,
Hossam and a Letter,1771,E,"brute force, dp, implementation, two pointers",,,,,,,,,,
Koxia and Game,1770,D,"constructive algorithms, data structures, dfs and similar, dsu, flows, games, graph matchings, graphs, implementation",,,,,,,,,,
Копирование файлов I,1769,B1,"*special, brute force, implementation, math",,,,,,,,,,
Elemental Decompress,1768,C,"constructive algorithms, greedy, implementation, sortings",,,,,,,,,,
Cut the Triangle,1767,A,implementation,,,,,,,,,,
Hamiltonian Wall,1766,C,"dp, implementation",,,,,,,,,,
Notepad#,1766,B,implementation,,,,,,,,,,
