Problem,Contest,Index,Tags,Rating,Submissions,Accepted,WrongAnswer,TimeLimitExceeded,MemoryLimitExceeded,SampleTests,Statement,Input,Output
Knights of a Polygonal Table,994,B,"greedy, implementation, sortings",,,,,,,,,,
Fingerprints,994,A,implementation,,,,,,,,,,
Two Squares,993,A,"geometry, implementation",,,,,,,,,,
Nastya and a Game,992,D,"brute force, implementation, math",,,,,,,,,,
Nastya and an Array,992,A,"implementation, sortings",,,,,,,,,,
Concise and clear,991,F,"brute force, greedy, implementation, math",,,,,,,,,,
Candies,991,C,"binary search, implementation",,,,,,,,,,
If at first you don't succeed...,991,A,implementation,,,,,,,,,,
Graph And Its Complement,990,D,"constructive algorithms, graphs, implementation",,,,,,,,,,
Bracket Sequences Concatenation Problem,990,C,implementation,,,,,,,,,,
Commentary Boxes,990,A,"implementation, math",,,,,,,,,,
A Blend of Springtime,989,A,"implementation, strings",,,,,,,,,,
Equal Sums,988,C,"implementation, sortings",,,,,,,,,,
Diverse Team,988,A,"brute force, implementation",,,,,,,,,,
Three displays,987,C,"brute force, dp, implementation",,,,,,,,,,
Infinity Gauntlet,987,A,implementation,,,,,,,,,,
Switches and Lamps,985,B,implementation,,,,,,,,,,
Chess Placing,985,A,implementation,,,,,,,,,,
Minesweeper,984,B,implementation,,,,,,,,,,
Finite or not?,983,A,"implementation, math",,,,,,,,,,
Bus of Characters,982,B,"data structures, greedy, implementation",,,,,,,,,,
Useful Decomposition,981,C,"implementation, trees",,,,,,,,,,
Antipalindrome,981,A,"brute force, implementation, strings",,,,,,,,,,
Links and Pearls,980,A,"implementation, math",,,,,,,,,,
Petya's Exams,978,G,"greedy, implementation, sortings",,,,,,,,,,
Mentors,978,F,"binary search, data structures, implementation",,,,,,,,,,
Almost Arithmetic Progression,978,D,"brute force, implementation, math",,,,,,,,,,
Letters,978,C,"binary search, implementation, two pointers",,,,,,,,,,
Remove Duplicates,978,A,implementation,,,,,,,,,,
Two-gram,977,B,"implementation, strings",,,,,,,,,,
Wrong Subtraction,977,A,implementation,,,,,,,,,,
Degree Set,976,D,"constructive algorithms, graphs, implementation",,,,,,,,,,
Nested Segments,976,C,"greedy, implementation, sortings",,,,,,,,,,
Lara Croft and the New Game,976,B,"implementation, math",,,,,,,,,,
Minimum Binary Number,976,A,implementation,,,,,,,,,,
Mancala,975,B,"brute force, implementation",,,,,,,,,,
Aramic script,975,A,"implementation, strings",,,,,,,,,,
Mind the Gap,967,A,implementation,,,,,,,,,,
Battleship,965,B,implementation,,,,,,,,,,
Merge Equals,962,D,"data structures, implementation",,,,,,,,,,
Make a Square,962,C,"brute force, implementation, math",,,,,,,,,,
Students in Railway Carriage,962,B,"constructive algorithms, greedy, implementation",,,,,,,,,,
Equator,962,A,implementation,,,,,,,,,,
Chessboard,961,C,"bitmasks, brute force, implementation",,,,,,,,,,
Lecture Sleep,961,B,"data structures, dp, implementation, two pointers",,,,,,,,,,
Tetris,961,A,implementation,,,,,,,,,,
Full Binary Tree Queries,960,D,"brute force, implementation, trees",,,,,,,,,,
Subsequence Counting,960,C,"bitmasks, constructive algorithms, greedy, implementation",,,,,,,,,,
Check the string,960,A,implementation,,,,,,,,,,
Mahmoud and Ehab and the xor-MST,959,E,"bitmasks, dp, graphs, implementation, math",,,,,,,,,,
Mahmoud and Ehab and the message,959,B,"dsu, greedy, implementation",,,,,,,,,,
Lightsabers (easy),958,F1,implementation,,,,,,,,,,
Maximum Control (easy),958,B1,implementation,,,,,,,,,,
Death Stars (easy),958,A1,implementation,,,,,,,,,,
Tritonic Iridescence,957,A,implementation,,,,,,,,,,
Not simply beatiful strings,955,B,implementation,,,,,,,,,,
Matrix Walk,954,C,implementation,,,,,,,,,,
String Typing,954,B,"implementation, strings",,,,,,,,,,
Diagonal Walking,954,A,implementation,,,,,,,,,,
Ravioli Sort,952,C,implementation,,,,,,,,,,
Intercepted Message,950,B,"greedy, implementation",,,,,,,,,,
"Left-handers, Right-handers and Ambidexters",950,A,"implementation, math",,,,,,,,,,
Protect Sheep,948,A,"brute force, dfs and similar, graphs, implementation",,,,,,,,,,
Largest Beautiful Number,946,E,"greedy, implementation",,,,,,,,,,
Alena And The Heater,940,D,"binary search, implementation",,,,,,,,,,
Phone Numbers,940,C,"constructive algorithms, implementation, strings",,,,,,,,,,
Hamster Farm,939,B,implementation,,,,,,,,,,
Word Correction,938,A,implementation,,,,,,,,,,
Olympiad,937,A,"implementation, sortings",,,,,,,,,,
Lock Puzzle,936,C,"constructive algorithms, implementation, strings",,,,,,,,,,
Save Energy!,936,A,"binary search, implementation, math",,,,,,,,,,
Fafa and the Gates,935,B,implementation,,,,,,,,,,
Fafa and his Company,935,A,"brute force, implementation",,,,,,,,,,
A Prosperous Lot,934,B,"constructive algorithms, implementation",,,,,,,,,,
Laboratory Work,931,C,"implementation, math",,,,,,,,,,
World Cup,931,B,"constructive algorithms, implementation",,,,,,,,,,
Friends Meeting,931,A,"brute force, greedy, implementation, math",,,,,,,,,,
Game with Tokens,930,D,"data structures, games, implementation",,,,,,,,,,
Game with String,930,B,"implementation, probabilities, strings",,,,,,,,,,
Места в самолёте,929,B,"*special, implementation",,,,,,,,,,
Прокат велосипедов,929,A,"*special, greedy, implementation",,,,,,,,,,
Dependency management,928,C,"*special, graphs, implementation",,,,,,,,,,
Is This a Zebra?,926,C,implementation,,,,,,,,,,
2-3-numbers,926,A,"implementation, math",,,,,,,,,,
Resource Distribution,925,B,"binary search, implementation, sortings",,,,,,,,,,
Mystical Mosaic,924,A,"greedy, implementation",,,,,,,,,,
Picking Strings,923,D,"constructive algorithms, implementation, strings",,,,,,,,,,
Cloning Toys,922,A,implementation,,,,,,,,,,
Tanks,920,D,"dp, greedy, implementation",,,,,,,,,,
Tea Queue,920,B,implementation,,,,,,,,,,
Water The Garden,920,A,implementation,,,,,,,,,,
Seat Arrangements,919,C,"brute force, implementation",,,,,,,,,,
Perfect Number,919,B,"binary search, brute force, dp, implementation, number theory",,,,,,,,,,
Supermarket,919,A,"brute force, greedy, implementation",,,,,,,,,,
Radio Station,918,B,"implementation, strings",,,,,,,,,,
Eleven,918,A,"brute force, implementation",,,,,,,,,,
The Monster,917,A,"dp, greedy, implementation, math",,,,,,,,,,
Jamie and Alarm Snooze,916,A,"brute force, implementation, math",,,,,,,,,,
Physical Education Lessons,915,E,"data structures, implementation, sortings",,,,,,,,,,
Browser,915,B,implementation,,,,,,,,,,
Garden,915,A,implementation,,,,,,,,,,
Conan and Agasa play a Card Game,914,B,"games, greedy, implementation",,,,,,,,,,
Perfect Squares,914,A,"brute force, implementation, math",,,,,,,,,,
Christmas Spruce,913,B,"implementation, trees",,,,,,,,,,
Modular Exponentiation,913,A,"implementation, math",,,,,,,,,,
Tricky Alchemy,912,A,implementation,,,,,,,,,,
Stack Sorting,911,E,"constructive algorithms, data structures, greedy, implementation",,,,,,,,,,
Two Cakes,911,B,"binary search, brute force, implementation",,,,,,,,,,
Nearest Minimums,911,A,implementation,,,,,,,,,,
Door Frames,910,B,"greedy, implementation",,,,,,,,,,
The Way to Home,910,A,"dfs and similar, dp, greedy, implementation",,,,,,,,,,
Colorful Points,909,D,"data structures, greedy, implementation",,,,,,,,,,
New Year and Rainbow Roads,908,F,"graphs, greedy, implementation",,,,,,,,,,
New Year and Curling,908,C,"brute force, geometry, implementation, math",,,,,,,,,,
New Year and Buggy Bot,908,B,"brute force, implementation",,,,,,,,,,
New Year and Counting Cards,908,A,"brute force, implementation",,,,,,,,,,
Tic-Tac-Toe,907,B,implementation,,,,,,,,,,
Masha and Bears,907,A,"brute force, implementation",,,,,,,,,,
Shockers,906,A,"implementation, strings",,,,,,,,,,
Swapping Characters,903,E,"brute force, hashing, implementation, strings",,,,,,,,,,
The Modcrab,903,B,"greedy, implementation",,,,,,,,,,
Hungry Student Problem,903,A,"greedy, implementation",,,,,,,,,,
Visiting a Friend,902,A,"greedy, implementation",,,,,,,,,,
Find Extra One,900,A,"geometry, implementation",,,,,,,,,,
Segments Removal,899,E,"data structures, dsu, flows, implementation, two pointers",,,,,,,,,,
Months and Years,899,B,implementation,,,,,,,,,,
Phone Numbers,898,C,"implementation, strings",,,,,,,,,,
Proper Nutrition,898,B,"brute force, implementation, number theory",,,,,,,,,,
Rounding,898,A,"implementation, math",,,,,,,,,,
Scarborough Fair,897,A,implementation,,,,,,,,,,
Pizza Separation,895,A,"brute force, implementation",,,,,,,,,,
Credit Card,893,D,"data structures, dp, greedy, implementation",,,,,,,,,,
Beautiful Divisors,893,B,"brute force, implementation",,,,,,,,,,
Chess For Three,893,A,implementation,,,,,,,,,,
Wrath,892,B,"greedy, implementation, two pointers",,,,,,,,,,
Greed,892,A,"greedy, implementation",,,,,,,,,,
K-Dominant Character,888,C,"binary search, implementation, two pointers",,,,,,,,,,
Local Extrema,888,A,"brute force, implementation",,,,,,,,,,
Solution for Cube,887,C,"brute force, implementation",,,,,,,,,,
Cubes for Masha,887,B,"brute force, implementation",,,,,,,,,,
Div. 64,887,A,implementation,,,,,,,,,,
Restoration of string,886,D,"constructive algorithms, graphs, implementation",,,,,,,,,,
Petya and Catacombs,886,C,"dsu, greedy, implementation, trees",,,,,,,,,,
Japanese Crosswords Strike Back,884,B,implementation,,,,,,,,,,
Book Reading,884,A,implementation,,,,,,,,,,
Road Widening,883,K,"constructive algorithms, greedy, implementation",,,,,,,,,,
Palindromic Cut,883,H,"brute force, implementation, strings",,,,,,,,,,
Lost in Transliteration,883,F,implementation,,,,,,,,,,
Field of Wonders,883,E,"implementation, strings",,,,,,,,,,
Downloading B++,883,C,"binary search, implementation",,,,,,,,,,
Automatic Door,883,A,implementation,,,,,,,,,,
Table Tennis,879,B,"data structures, implementation",,,,,,,,,,
Borya's Diagnosis,879,A,implementation,,,,,,,,,,
Teams Formation,878,B,"data structures, implementation",,,,,,,,,,
Alex and broken contest,877,A,"implementation, strings",,,,,,,,,,
Divisiblity of Differences,876,B,"implementation, math, number theory",,,,,,,,,,
National Property,875,C,"2-sat, dfs and similar, graphs, implementation",,,,,,,,,,
Sorting the Coins,875,B,"dsu, implementation, sortings, two pointers",,,,,,,,,,
Balanced Substring,873,B,"dp, implementation",,,,,,,,,,
Chores,873,A,implementation,,,,,,,,,,
Search for Pretty Integers,870,A,"brute force, implementation",,,,,,,,,,
The Artful Expedient,869,A,"brute force, implementation",,,,,,,,,,
Huge Strings,868,D,"bitmasks, brute force, dp, implementation, strings",,,,,,,,,,
Race Against Time,868,B,implementation,,,,,,,,,,
Bark to Unlock,868,A,"brute force, implementation, strings",,,,,,,,,,
Between the Offices,867,A,implementation,,,,,,,,,,
Make a Permutation!,864,D,"greedy, implementation, math",,,,,,,,,,
Bus,864,C,"greedy, implementation, math",,,,,,,,,,
Polycarp and Letters,864,B,"brute force, implementation, strings",,,,,,,,,,
Fair Game,864,A,"implementation, sortings",,,,,,,,,,
Yet Another Array Queries Problem,863,D,"data structures, implementation",,,,,,,,,,
1-2-3,863,C,"graphs, implementation",,,,,,,,,,
Quasi-palindrome,863,A,"brute force, implementation",,,,,,,,,,
Mahmoud and Ehab and the MEX,862,A,"greedy, implementation",,,,,,,,,,
Declined Finalists,859,A,"greedy, implementation",,,,,,,,,,
Tests Renumeration,858,E,"greedy, implementation",,,,,,,,,,
Polycarp's phone book,858,D,"data structures, implementation, sortings",,,,,,,,,,
Did you mean...,858,C,"dp, greedy, implementation",,,,,,,,,,
Which floor?,858,B,"brute force, implementation",,,,,,,,,,
Tom Riddle's Diary,855,A,"brute force, implementation, strings",,,,,,,,,,
Bathroom terminal,852,G,implementation,,,,,,,,,,
Digits,852,A,"brute force, implementation, math",,,,,,,,,,
Arpa and a research in Mexican wave,851,A,"implementation, math",,,,,,,,,,
Arpa and a list of numbers,850,B,"implementation, number theory",,,,,,,,,,
Odds and Ends,849,A,implementation,,,,,,,,,,
Rooter's Song,848,B,"constructive algorithms, data structures, geometry, implementation, sortings, two pointers",,,,,,,,,,
Weather Tomorrow,847,M,"implementation, math",,,,,,,,,,
Travel Cards,847,K,"greedy, implementation, sortings",,,,,,,,,,
Noise Level,847,I,"dfs and similar, implementation, math",,,,,,,,,,
University Classes,847,G,implementation,,,,,,,,,,
Union of Doubly Linked Lists,847,A,implementation,,,,,,,,,,
Curriculum Vitae,846,A,"brute force, implementation",,,,,,,,,,
Luba And The Ticket,845,B,"brute force, greedy, implementation",,,,,,,,,,
Chess Tourney,845,A,"implementation, sortings",,,,,,,,,,
Diversity,844,A,"greedy, implementation, strings",,,,,,,,,,
Sorting by Subsequences,843,A,"dfs and similar, dsu, implementation, math, sortings",,,,,,,,,,
Generous Kefa,841,A,"brute force, implementation",,,,,,,,,,
Game of the Rows,839,B,"brute force, greedy, implementation",,,,,,,,,,
Arya and Bran,839,A,implementation,,,,,,,,,,
Vasya's Function,837,E,"binary search, implementation, math",,,,,,,,,,
Two Seals,837,C,"brute force, implementation",,,,,,,,,,
Flag of Berland,837,B,"brute force, implementation",,,,,,,,,,
Text Volume,837,A,implementation,,,,,,,,,,
Star sky,835,C,"dp, implementation",,,,,,,,,,
The Festive Evening,834,B,"data structures, implementation",,,,,,,,,,
The Useless Toy,834,A,implementation,,,,,,,,,,
Red-Black Cobweb,833,D,"data structures, divide and conquer, implementation, trees",,,,,,,,,,
Strange Radiation,832,C,"binary search, implementation, math",,,,,,,,,,
Petya and Exam,832,B,"implementation, strings",,,,,,,,,,
Keyboard Layouts,831,B,"implementation, strings",,,,,,,,,,
Unimodal Array,831,A,implementation,,,,,,,,,,
Perpetual Motion Machine,830,E,"constructive algorithms, dp, graphs, implementation, math, trees",,,,,,,,,,
Bamboo Partition,830,C,"brute force, data structures, implementation, math, number theory, sortings, two pointers",,,,,,,,,,
Cards Sorting,830,B,"data structures, implementation, sortings",,,,,,,,,,
Black Square,828,B,implementation,,,,,,,,,,
Restaurant Tables,828,A,implementation,,,,,,,,,,
High Load,827,B,"constructive algorithms, greedy, implementation, trees",,,,,,,,,,
Suitable Replacement,825,D,"binary search, greedy, implementation",,,,,,,,,,
Multi-judge Solving,825,C,"greedy, implementation",,,,,,,,,,
Five-In-a-Row,825,B,"brute force, implementation",,,,,,,,,,
Binary Protocol,825,A,implementation,,,,,,,,,,
"Hacker, pack your bags!",822,C,"binary search, greedy, implementation, sortings",,,,,,,,,,
Crossword solving,822,B,"brute force, implementation, strings",,,,,,,,,,
I'm bored with life,822,A,"implementation, math, number theory",,,,,,,,,,
Okabe and Future Gadget Laboratory,821,A,implementation,,,,,,,,,,
Mister B and Book Reading,820,A,implementation,,,,,,,,,,
Mister B and PR Shifts,819,B,"data structures, implementation, math",,,,,,,,,,
Multicolored Cars,818,D,"data structures, implementation",,,,,,,,,,
Sofa Thief,818,C,"brute force, implementation",,,,,,,,,,
Permutation Game,818,B,implementation,,,,,,,,,,
Diplomas and Certificates,818,A,"implementation, math",,,,,,,,,,
Makes And The Product,817,B,"combinatorics, implementation, math, sortings",,,,,,,,,,
Treasure Hunt,817,A,"implementation, math, number theory",,,,,,,,,,
Karen and Coffee,816,B,"binary search, data structures, implementation",,,,,,,,,,
Karen and Morning,816,A,"brute force, implementation",,,,,,,,,,
Karen and Neighborhood,815,E,"binary search, constructive algorithms, implementation",,,,,,,,,,
Karen and Game,815,A,"brute force, greedy, implementation",,,,,,,,,,
An abandoned sentiment from past,814,A,"constructive algorithms, greedy, implementation, sortings",,,,,,,,,,
The Contest,813,A,implementation,,,,,,,,,,
Sagheer and Kindergarten,812,D,"dfs and similar, graphs, implementation, trees",,,,,,,,,,
Sagheer and Crossroads,812,A,implementation,,,,,,,,,,
Vladik and Memorable Trip,811,C,"dp, implementation",,,,,,,,,,
Vladik and Complicated Book,811,B,"implementation, sortings",,,,,,,,,,
Vladik and Courtesy,811,A,"brute force, implementation",,,,,,,,,,
Straight <<A>>,810,A,"implementation, math",,,,,,,,,,
Do you want a date?,809,A,"implementation, math, sortings",,,,,,,,,,
Array Division,808,D,"binary search, data structures, implementation",,,,,,,,,,
Average Sleep Time,808,B,"data structures, implementation, math",,,,,,,,,,
Lucky Year,808,A,implementation,,,,,,,,,,
T-Shirt Hunt,807,B,"brute force, implementation",,,,,,,,,,
Is it rated?,807,A,"implementation, sortings",,,,,,,,,,
Minimum number of steps,804,B,"combinatorics, greedy, implementation, math",,,,,,,,,,
Fake News (easy),802,G,"implementation, strings",,,,,,,,,,
Fountains,799,C,"binary search, data structures, implementation",,,,,,,,,,
T-shirt buying,799,B,"data structures, implementation",,,,,,,,,,
Carrot Cakes,799,A,"brute force, implementation",,,,,,,,,,
Odd sum,797,B,"dp, greedy, implementation",,,,,,,,,,
k-Factorization,797,A,"implementation, math, number theory",,,,,,,,,,
Find The Bone,796,B,implementation,,,,,,,,,,
Buying A House,796,A,"brute force, implementation",,,,,,,,,,
Bank Robbery,794,A,"brute force, implementation",,,,,,,,,,
Mice problem,793,C,"geometry, implementation, math, sortings",,,,,,,,,,
Igor and his way to work,793,B,"dfs and similar, graphs, implementation, shortest paths",,,,,,,,,,
Oleg and shares,793,A,"implementation, math",,,,,,,,,,
Counting-out Rhyme,792,B,implementation,,,,,,,,,,
New Bus Route,792,A,"implementation, sortings",,,,,,,,,,
Bear and Big Brother,791,A,implementation,,,,,,,,,,
Masha and geometric depression,789,B,"brute force, implementation, math",,,,,,,,,,
Anastasia and pebbles,789,A,"implementation, math",,,,,,,,,,
Not Afraid,787,B,"greedy, implementation, math",,,,,,,,,,
Anton and Polyhedrons,785,A,"implementation, strings",,,,,,,,,,
Crunching Numbers Just for You,784,F,"*special, implementation",,,,,,,,,,
Twisted Circuit,784,E,"*special, brute force, implementation",,,,,,,,,,
Touchy-Feely Palindromes,784,D,"*special, implementation",,,,,,,,,,
INTERCALC,784,C,"*special, implementation",,,,,,,,,,
Intranet of Buses,780,H,"binary search, geometry, implementation, two pointers",,,,,,,,,,
Innokenty and a Football League,780,D,"2-sat, graphs, greedy, implementation, shortest paths, strings",,,,,,,,,,
Andryusha and Socks,780,A,implementation,,,,,,,,,,
Bitwise Formula,778,B,"bitmasks, brute force, dfs and similar, expression parsing, implementation",,,,,,,,,,
Cloud of Hashtags,777,D,"binary search, greedy, implementation, strings",,,,,,,,,,
Alyona and Spreadsheet,777,C,"binary search, data structures, dp, greedy, implementation, two pointers",,,,,,,,,,
Shell Game,777,A,"constructive algorithms, implementation, math",,,,,,,,,,
Sherlock's bet to Moriarty,776,F,"constructive algorithms, data structures, divide and conquer, geometry, graphs, implementation, trees",,,,,,,,,,
Molly's Chemicals,776,C,"binary search, brute force, data structures, implementation, math",,,,,,,,,,
A Serial Killer,776,A,"brute force, implementation, strings",,,,,,,,,,
Stepan and Vowels,774,K,"*special, implementation, strings",,,,,,,,,,
Lie or Truth,774,D,"*special, constructive algorithms, implementation, sortings",,,,,,,,,,
Maximum Number,774,C,"*special, constructive algorithms, greedy, implementation",,,,,,,,,,
Draw Brackets!,770,D,"*special, implementation",,,,,,,,,,
Online Courses In BSU,770,C,"*special, dfs and similar, graphs, implementation",,,,,,,,,,
Maximize Sum of Digits,770,B,"*special, implementation, math",,,,,,,,,,
New Password,770,A,"*special, implementation",,,,,,,,,,
Year of University Entrance,769,A,"*special, implementation, sortings",,,,,,,,,,
Jon Snow and his Favourite Number,768,C,"brute force, dp, implementation, sortings",,,,,,,,,,
Snacktower,767,A,"data structures, implementation",,,,,,,,,,
Tree Folding,765,E,"dfs and similar, dp, greedy, implementation, trees",,,,,,,,,,
Code obfuscation,765,B,"greedy, implementation, strings",,,,,,,,,,
Neverending competitions,765,A,"implementation, math",,,,,,,,,,
Timofey and cubes,764,B,"constructive algorithms, implementation",,,,,,,,,,
Taymyr is calling you,764,A,"brute force, implementation, math",,,,,,,,,,
Timofey and remoduling,763,C,"brute force, implementation, math, number theory",,,,,,,,,,
Timofey and a tree,763,A,"dfs and similar, dp, dsu, graphs, implementation, trees",,,,,,,,,,
Maximum path,762,D,"dp, greedy, implementation",,,,,,,,,,
USB vs. PS/2,762,B,"greedy, implementation, sortings, two pointers",,,,,,,,,,
Dasha and Photos,761,F,"brute force, data structures, dp, implementation",,,,,,,,,,
Dasha and Password,761,C,"brute force, dp, implementation",,,,,,,,,,
Dasha and friends,761,B,"brute force, implementation, math",,,,,,,,,,
Dasha and Stairs,761,A,"brute force, constructive algorithms, implementation, math",,,,,,,,,,
Petr and a calendar,760,A,"implementation, math",,,,,,,,,,
Unfair Poll,758,C,"binary search, constructive algorithms, implementation, math",,,,,,,,,,
Blown Garland,758,B,"brute force, implementation, number theory",,,,,,,,,,
Holiday Of Equality,758,A,"implementation, math",,,,,,,,,,
Gotta Catch Em' All!,757,A,implementation,,,,,,,,,,
Vladik and chat,754,C,"brute force, constructive algorithms, dp, implementation, strings",,,,,,,,,,
Ilya and tic-tac-toe game,754,B,"brute force, implementation",,,,,,,,,,
Lesha and array splitting,754,A,"constructive algorithms, greedy, implementation",,,,,,,,,,
Interactive Bulls and Cows (Easy),753,B,"brute force, constructive algorithms, implementation",,,,,,,,,,
New Year and Finding Roots,750,F,"constructive algorithms, implementation, interactive, trees",,,,,,,,,,
New Year and Fireworks,750,D,"brute force, data structures, dfs and similar, dp, implementation",,,,,,,,,,
New Year and North Pole,750,B,"geometry, implementation",,,,,,,,,,
New Year and Hurry,750,A,"binary search, brute force, implementation, math",,,,,,,,,,
Voting,749,C,"greedy, implementation, two pointers",,,,,,,,,,
Bachgold Problem,749,A,"greedy, implementation, math, number theory",,,,,,,,,,
Santa Claus and Keyboard Check,748,B,"implementation, strings",,,,,,,,,,
Santa Claus and a Place in a Class,748,A,"implementation, math",,,,,,,,,,
Comments,747,E,"dfs and similar, expression parsing, implementation, strings",,,,,,,,,,
Servers,747,C,implementation,,,,,,,,,,
Mammoth's Genome Decoding,747,B,"implementation, strings",,,,,,,,,,
Numbers Exchange,746,E,"greedy, implementation, math",,,,,,,,,,
Tram,746,C,"constructive algorithms, implementation, math",,,,,,,,,,
Decoding,746,B,"implementation, strings",,,,,,,,,,
Compote,746,A,"implementation, math",,,,,,,,,,
Hongcow Solves A Puzzle,745,B,implementation,,,,,,,,,,
Hongcow Learns the Cyclic Shift,745,A,"implementation, strings",,,,,,,,,,
Chloe and the sequence ,743,B,"binary search, bitmasks, constructive algorithms, implementation",,,,,,,,,,
Vladik and flights,743,A,"constructive algorithms, greedy, implementation",,,,,,,,,,
Arpa’s hard exam and Mehrdad’s naive cheat,742,A,"implementation, math, number theory",,,,,,,,,,
Alyona and copybooks,740,A,"brute force, implementation",,,,,,,,,,
Ostap and Grasshopper,735,A,"implementation, strings",,,,,,,,,,
Anton and School,734,F,"bitmasks, constructive algorithms, implementation, math",,,,,,,,,,
Anton and Chess,734,D,implementation,,,,,,,,,,
Anton and Digits,734,B,"brute force, greedy, implementation, math",,,,,,,,,,
Anton and Danik,734,A,"implementation, strings",,,,,,,,,,
Grasshopper And the String,733,A,implementation,,,,,,,,,,
Sanatorium,732,C,"binary search, constructive algorithms, greedy, implementation, math",,,,,,,,,,
Buy a Shovel,732,A,"brute force, constructive algorithms, implementation, math",,,,,,,,,,
Video Cards,731,F,"brute force, data structures, implementation, math, number theory",,,,,,,,,,
Night at the Museum,731,A,"implementation, strings",,,,,,,,,,
Delete Them,730,H,"constructive algorithms, implementation",,,,,,,,,,
Car Repair Shop,730,G,implementation,,,,,,,,,,
Award Ceremony,730,E,"greedy, implementation",,,,,,,,,,
Running Over The Bridges,730,D,"greedy, implementation, math",,,,,,,,,,
Toda 2,730,A,"greedy, implementation",,,,,,,,,,
Spotlights,729,B,"dp, implementation",,,,,,,,,,
Interview with Oleg,729,A,"implementation, strings",,,,,,,,,,
Bill Total Value,727,B,"expression parsing, implementation, strings",,,,,,,,,,
Hidden Word,725,C,"brute force, constructive algorithms, implementation, strings",,,,,,,,,,
Food on the Plane,725,B,"implementation, math",,,,,,,,,,
Jumping Ball,725,A,implementation,,,,,,,,,,
Ray Tracing,724,C,"greedy, hashing, implementation, math, number theory, sortings",,,,,,,,,,
Batch Sort,724,B,"brute force, greedy, implementation, math",,,,,,,,,,
Checking the Calendar,724,A,implementation,,,,,,,,,,
st-Spanning Tree,723,F,"dsu, graphs, greedy, implementation",,,,,,,,,,
Lakes in Berland,723,D,"dfs and similar, dsu, graphs, greedy, implementation",,,,,,,,,,
Text Document Analysis,723,B,"expression parsing, implementation, strings",,,,,,,,,,
The New Year: Meeting Friends,723,A,"implementation, math, sortings",,,,,,,,,,
Cyclic Cipher,722,F,"chinese remainder theorem, data structures, implementation, number theory, two pointers",,,,,,,,,,
Verse Pattern,722,B,"implementation, strings",,,,,,,,,,
Broken Clock,722,A,"brute force, implementation",,,,,,,,,,
Passwords,721,B,"implementation, math, sortings, strings",,,,,,,,,,
One-dimensional Japanese Crossword,721,A,implementation,,,,,,,,,,
Cipher,720,E,implementation,,,,,,,,,,
Vitya in the Countryside,719,A,implementation,,,,,,,,,,
Efim and Strange Grade,718,A,"dp, implementation, math",,,,,,,,,,
Potions Homework,717,C,"implementation, sortings",,,,,,,,,,
Crazy Computer,716,A,implementation,,,,,,,,,,
Filya and Homework,714,B,"implementation, sortings",,,,,,,,,,
Meeting of Old Friends,714,A,"implementation, math",,,,,,,,,,
Sonya and Queries,713,A,"data structures, implementation",,,,,,,,,,
Memory and Trident,712,B,"implementation, strings",,,,,,,,,,
Memory and Crow,712,A,"implementation, math",,,,,,,,,,
Chris and Magic Square,711,B,"constructive algorithms, implementation",,,,,,,,,,
Bus to Udayland,711,A,"brute force, implementation",,,,,,,,,,
King Moves,710,A,implementation,,,,,,,,,,
Checkpoints,709,B,"greedy, implementation, sortings",,,,,,,,,,
Juicer,709,A,implementation,,,,,,,,,,
Recover the String,708,B,"constructive algorithms, greedy, implementation, math",,,,,,,,,,
Letters Cyclic Shift,708,A,"constructive algorithms, greedy, implementation, strings",,,,,,,,,,
Persistent Bookcase ,707,D,"bitmasks, data structures, dfs and similar, implementation",,,,,,,,,,
Brain's Photos,707,A,implementation,,,,,,,,,,
Working routine,706,E,"data structures, implementation",,,,,,,,,,
Interesting drink,706,B,"binary search, dp, implementation",,,,,,,,,,
Beru-taxi,706,A,"brute force, geometry, implementation",,,,,,,,,,
Hulk,705,A,implementation,,,,,,,,,,
Black Widow,704,C,"dp, graphs, implementation, math",,,,,,,,,,
Thor,704,A,"brute force, data structures, implementation",,,,,,,,,,
Chris and Road,703,C,"geometry, implementation",,,,,,,,,,
Mishka and trip,703,B,"implementation, math",,,,,,,,,,
Mishka and Game,703,A,implementation,,,,,,,,,,
Cellular Network,702,C,"binary search, implementation, two pointers",,,,,,,,,,
Powers of Two,702,B,"brute force, data structures, implementation, math",,,,,,,,,,
Maximum Increase,702,A,"dp, greedy, implementation",,,,,,,,,,
Cards,701,A,"greedy, implementation",,,,,,,,,,
One Bomb,699,B,implementation,,,,,,,,,,
Launch of Collider,699,A,implementation,,,,,,,,,,
Barnicle,697,B,"brute force, implementation, math, strings",,,,,,,,,,
Pineapple Incident,697,A,"implementation, math",,,,,,,,,,
PLEASE,696,C,"combinatorics, dp, implementation, math, matrices",,,,,,,,,,
Lorenzo Von Matterhorn,696,A,"brute force, data structures, implementation, trees",,,,,,,,,,
Exponential notation,691,C,"implementation, strings",,,,,,,,,,
s-palindrome,691,B,"implementation, strings",,,,,,,,,,
Fashion in Berland,691,A,implementation,,,,,,,,,,
Mike and Geometry Problem,689,E,"combinatorics, data structures, dp, geometry, implementation",,,,,,,,,,
Mike and Cellphone,689,A,"brute force, constructive algorithms, implementation",,,,,,,,,,
Opponents,688,A,implementation,,,,,,,,,,
Little Robber Girl's Zoo,686,B,"constructive algorithms, implementation, sortings",,,,,,,,,,
Free Ice Cream,686,A,"constructive algorithms, implementation",,,,,,,,,,
