Problem,Contest,Index,Tags,solvedCount
Atilla's Favorite Problem,1760,B,"greedy, implementation, strings",37467
Medium Number,1760,A,"implementation, sortings",45870
Yes-Yes?,1759,A,"implementation, strings",26935
Complementary XOR,1750,C,"constructive algorithms, implementation",8703
Maximum Substring,1750,B,"brute force, greedy, implementation",15654
Indirect Sort,1750,A,"constructive algorithms, implementation, math",16376
Number Game,1749,C,"binary search, data structures, games, greedy, implementation",12246
Cowardly Rooks,1749,A,"greedy, implementation",21492
Zero-Sum Prefixes,1748,C,"brute force, data structures, dp, greedy, implementation",9476
Diverse Substrings,1748,B,"brute force, implementation, strings",13107
Olympiad Training,1746,G,"binary search, data structures, dp, flows, geometry, implementation, sortings",85
Permutation Operations,1746,C,"constructive algorithms, greedy, implementation, math",11553
Traffic Light,1744,C,"binary search, implementation, two pointers",21114
Even-Odd Increments ,1744,B,"implementation, math",21953
Number Replacement,1744,A,"greedy, implementation",25304
Password,1743,A,"brute force, combinatorics, implementation, math",25024
Stripes,1742,C,implementation,27904
Increasing,1742,B,"greedy, implementation, sortings",39655
Sum,1742,A,implementation,53554
Compare T-Shirt Sizes,1741,A,"implementation, implementation, strings",28318
Immobile Knight,1739,A,implementation,21699
Glory Addicts,1738,A,"greedy, implementation, sortings",13110
Ela and the Wiring Wizard,1737,D,"brute force, dp, graphs, greedy, implementation, shortest paths",1735
Ela and Crickets,1737,C,"constructive algorithms, games, implementation, math",5248
Ela's Fitness and the Luxury Number,1737,B,"binary search, implementation, math",8715
Ela Sorting Books,1737,A,"greedy, implementation, strings",9631
Equal Binary Subsequences,1736,D,"constructive algorithms, geometry, greedy, implementation, strings",2256
Phase Shift,1735,C,"dfs and similar, dsu, graphs, greedy, implementation, strings",9043
Balance (Easy version),1732,D1,"brute force, data structures, implementation, number theory",7502
Sheikh (Hard Version),1732,C2,"binary search, bitmasks, brute force, greedy, implementation, two pointers",2266
Ugu,1732,B,"brute force, dp, greedy, implementation",13197
Bestie,1732,A,"brute force, combinatorics, constructive algorithms, implementation, math, number theory",13649
Meeting on the Line,1730,B,"binary search, geometry, greedy, implementation, math, ternary search",10783
Colored Balls: Revisited,1728,A,"brute force, greedy, implementation, sortings",23836
Mainak and the Bleeding Polygon,1726,H,"binary search, geometry, implementation, math",72
L-shapes,1722,F,"dfs and similar, implementation",6024
Counting Rectangles,1722,E,"brute force, data structures, dp, implementation",8931
Word Game,1722,C,"data structures, implementation",27153
Colourblindness,1722,B,implementation,38972
Spell Check,1722,A,implementation,41245
Deadly Laser,1721,B,implementation,20534
Image,1721,A,"greedy, implementation",25710
Misha and Paintings,1720,E,"constructive algorithms, data structures, greedy, implementation, math",693
Corners,1720,C,"greedy, implementation",15435
Fighting Tournament,1719,C,"binary search, data structures, implementation, two pointers",12116
Impressionism,1718,E,"constructive algorithms, graphs, implementation, math",95
Fibonacci Strings,1718,B,"greedy, implementation, math, number theory",2683
Madoka and The First Session,1717,F,"constructive algorithms, flows, graph matchings, graphs, implementation",472
Madoka and Underground Competitions,1717,B,"constructive algorithms, implementation",14069
Robot in a Hallway,1716,C,"data structures, dp, greedy, implementation, ternary search",3821
Monoblock,1715,C,"combinatorics, data structures, implementation, math",7913
Build a Tree and That Is It,1714,F,"constructive algorithms, implementation, trees",2849
Remove Prefix,1714,B,"data structures, greedy, implementation",27539
Everyone Loves to Sleep,1714,A,"implementation, math",26582
Traveling Salesman Problem,1713,A,"geometry, greedy, implementation",21158
Wonderful Permutation,1712,A,"greedy, implementation",23239
Rain,1710,B,"binary search, brute force, data structures, geometry, greedy, implementation, math",2246
Recover an RBS,1709,C,"constructive algorithms, greedy, implementation, strings",8015
Also Try Minecraft,1709,B,"data structures, dp, implementation",20868
Three Doors,1709,A,"brute force, greedy, implementation, math",27925
Difference Array,1707,B,"brute force, data structures, implementation, sortings",5257
Doremy's IQ,1707,A,"binary search, constructive algorithms, greedy, implementation",12038
Qpwoeirut And The City,1706,C,"dp, flows, greedy, implementation",13563
Mark and His Unfinished Essay,1705,C,"brute force, implementation",12323
Mark the Dust Sweeper,1705,B,"constructive algorithms, greedy, implementation",21101
Count Seconds,1704,E,"brute force, constructive algorithms, dp, graphs, implementation, math",2118
Magical Array,1704,D,"constructive algorithms, hashing, implementation, math",4640
Virus,1704,C,"greedy, implementation, sortings",12963
Luke is a Foodie,1704,B,"brute force, greedy, implementation",14898
Mirror Grid,1703,E,implementation,15164
Cypher,1703,C,"brute force, implementation, strings",31827
ICPC Balloons,1703,B,"data structures, implementation",40144
YES or YES?,1703,A,"brute force, implementation, strings",53194
Points,1701,F,"combinatorics, data structures, implementation, math, matrices",813
Schedule Management,1701,C,"binary search, greedy, implementation, two pointers",14359
Grass Field,1701,A,implementation,24978
Palindromic Numbers ,1700,B,"constructive algorithms, implementation, math",17493
Equal Reversal,1698,F,"constructive algorithms, graphs, implementation, math",516
Rising Sand,1698,B,"constructive algorithms, greedy, implementation",20297
Too Many Constraints,1697,F,"2-sat, constructive algorithms, graphs, implementation",417
Coloring,1697,E,"brute force, combinatorics, constructive algorithms, dp, geometry, graphs, greedy, implementation, math",1080
awoo's Favorite Problem,1697,C,"binary search, constructive algorithms, data structures, greedy, implementation, strings, two pointers",13137
Parkway Walk,1697,A,"greedy, implementation",24796
Maximum Product?,1696,H,"brute force, combinatorics, dp, greedy, implementation, math, two pointers",126
Fishingprince Plays With Array,1696,C,"constructive algorithms, greedy, implementation, math",10824
Creep,1694,A,"greedy, implementation",21511
Binary Deque,1692,E,"binary search, implementation, two pointers",17484
The Clock,1692,D,"brute force, implementation",17543
Where's the Bishop?,1692,C,implementation,30253
Marathon,1692,A,implementation,51126
Max GEQ Sum,1691,D,"binary search, constructive algorithms, data structures, divide and conquer, implementation, two pointers",5004
Shoe Shuffling,1691,B,"constructive algorithms, greedy, implementation, two pointers",19721
Black and White Stripe,1690,D,"implementation, two pointers",23595
Restoring the Duration of Tasks,1690,C,"data structures, greedy, implementation",24369
Array Decrements,1690,B,"greedy, implementation",23786
Lex String,1689,A,"brute force, greedy, implementation, sortings, two pointers",15967
Cute number,1687,D,"binary search, brute force, data structures, dsu, implementation, math",517
Linguistics,1685,B,"greedy, implementation, sortings, strings",2969
Column Swapping,1684,C,"brute force, constructive algorithms, greedy, implementation, sortings",11475
Circular Spanning Tree,1682,D,"constructive algorithms, implementation, trees",3009
LIS or Reverse LIS?,1682,C,"constructive algorithms, greedy, implementation, math",13321
Double Sort,1681,C,"implementation, sortings",16069
Card Trick,1681,B,"implementation, math",19362
Robots,1680,B,implementation,17722
Rooks Defenders,1679,C,"data structures, implementation",9356
Stone Age Problem,1679,B,"data structures, implementation",15498
Tokitsukaze and Good 01-String (hard version),1678,B2,"dp, greedy, implementation",6083
Tokitsukaze and Good 01-String (easy version),1678,B1,implementation,15351
Tokitsukaze and All Zero Sequence,1678,A,implementation,17595
Tokitsukaze and Meeting,1677,B,"data structures, implementation, math",3791
Longest Strike,1676,F,"data structures, greedy, implementation, sortings, two pointers",14427
X-Sum,1676,D,"brute force, greedy, implementation",21979
Most Similar Words,1676,C,"brute force, greedy, implementation, implementation, math, strings",26727
Lucky?,1676,A,implementation,49235
Vertical Paths,1675,D,"graphs, implementation, trees",11730
Detective Task,1675,C,implementation,16765
Make It Increasing,1675,B,"greedy, implementation",22310
Desktop Rearrangement,1674,F,"data structures, greedy, implementation",4568
A-B-C Sort,1674,D,"constructive algorithms, implementation, sortings",14860
Infinite Replacement,1674,C,"combinatorics, implementation, strings",21556
Cyclic Rotation,1672,D,"constructive algorithms, greedy, implementation, two pointers",5696
Unequal Array,1672,C,"constructive algorithms, greedy, implementation",12437
I love AAAB,1672,B,"constructive algorithms, implementation",15162
Log Chopping,1672,A,"games, implementation, math",15463
String Building,1671,A,implementation,19738
Very Suspicious,1670,D,"binary search, brute force, geometry, greedy, implementation, math",4708
Where is the Pizza?,1670,C,"data structures, dfs and similar, dsu, graphs, implementation, math",8882
Dorms War,1670,B,"brute force, implementation, strings",11992
Prof. Slim,1670,A,"greedy, implementation, sortings",14898
Fall Down,1669,G,"dfs and similar, implementation",15765
Colorful Stamp,1669,D,implementation,19423
Odd/Even Increments,1669,C,"greedy, greedy, implementation, math",30158
Triple,1669,B,"implementation, sortings",35628
Division?,1669,A,implementation,48221
Direction Change,1668,A,"implementation, math",15870
Yin Yang,1667,F,implementation,77
Fancy Stack,1666,F,"combinatorics, dp, implementation",994
MinimizOR,1665,E,"bitmasks, brute force, data structures, divide and conquer, greedy, implementation, two pointers",1294
Are You Safe?,1663,E,"*special, implementation",509
Pōja Verdon,1663,C,"*special, implementation, math",5418
Mike's Sequence,1663,B,"*special, divide and conquer, implementation, math",3197
Circular Maze,1662,O,"brute force, dfs and similar, graphs, implementation",1135
Ice Cream Shop,1662,I,"brute force, implementation, sortings",1760
Antennas,1662,F,"data structures, dfs and similar, graphs, graphs, implementation, implementation, shortest paths, shortest paths",863
Evolution of Weasels,1662,D,"greedy, implementation, strings",1497
Organizing SWERC,1662,A,"brute force, implementation",3851
