Problem,Contest,Index,Tags,solvedCount
Coin Rows,1555,C,"brute force, constructive algorithms, dp, implementation",19723
Two Tables,1555,B,brute force,15045
Backspace,1553,D,"dp, greedy, strings, two pointers",12660
Reverse String,1553,B,"brute force, dp, hashing, implementation, strings",13359
Running for Gold,1552,B,"combinatorics, graphs, greedy, sortings",14315
Interesting Story,1551,C,"greedy, sortings, strings",12172
Wonderful Coloring - 2,1551,B2,"binary search, constructive algorithms, data structures, greedy",14422
Web of Lies,1548,A,"brute force, graphs, greedy",15448
Air Conditioners,1547,E,"data structures, dp, implementation, shortest paths, sortings, two pointers",12825
Co-growing Sequence,1547,D,"bitmasks, constructive algorithms, greedy",15117
AquaMoon and Strange Sort,1545,A,sortings,13095
Plus and Multiply,1542,B,"constructive algorithms, math, number theory",20511
Great Graphs,1540,A,"constructive algorithms, graphs, greedy, shortest paths, sortings",13222
Interesting Function,1538,F,"binary search, dp, math, number theory",17155
Number of Pairs,1538,C,"binary search, data structures, math, two pointers",24986
Diluc and Kaeya,1536,C,"data structures, dp, hashing, number theory",12907
Unstable String,1535,C,"binary search, dp, greedy, implementation, strings, two pointers",15364
Little Alawn's Puzzle,1534,C,"combinatorics, dp, dsu, graphs, math",12065
Potions (Easy Version),1526,C1,"brute force, data structures, dp, greedy",19427
I Hate 1111,1526,B,"dp, math, number theory",26082
Nastia and a Good Array,1521,B,"constructive algorithms, math, number theory",19737
Arranging The Sheep,1520,E,"greedy, math",18533
Berland Regional,1519,C,"brute force, data structures, greedy, number theory, sortings",15104
Fillomino 2,1517,C,"constructive algorithms, dfs and similar, greedy, implementation",12617
AGAGA XOOORRR,1516,B,"bitmasks, brute force, dp, greedy",16890
Phoenix and Socks,1515,D,"greedy, sortings, two pointers",10786
Phoenix and Towers,1515,C,"constructive algorithms, data structures, greedy",15653
AND Sequences,1513,B,"bitmasks, combinatorics, constructive algorithms, math",12757
Restoring the Permutation,1506,E,"constructive algorithms, implementation",12046
Epic Transformation,1506,D,"constructive algorithms, data structures, greedy",19306
Fibonacci Words,1505,C,"*special, implementation",6079
Minimum Grid Path,1499,C,"brute force, data structures, greedy, math",11937
Box Fitting,1498,B,"binary search, bitmasks, data structures, greedy",15152
Berland Crossword,1494,B,"bitmasks, brute force, greedy, implementation",13481
Planet Lapituletti,1493,B,"brute force, implementation",11317
Maximum width,1492,C,"binary search, data structures, dp, greedy, two pointers",14868
Equalize the Array,1490,F,"binary search, data structures, greedy, math, sortings",14445
Accidental Victory,1490,E,"binary search, data structures, greedy",17025
Pythagorean Triples,1487,D,"binary search, brute force, math, number theory",15866
Minimum Ties,1487,C,"brute force, constructive algorithms, dfs and similar, graphs, greedy, implementation, math",13069
Eastern Exhibition,1486,B,"binary search, geometry, shortest paths, sortings",14528
Restore Modulo,1482,B,"implementation, math",8802
Inflation,1476,B,"binary search, brute force, greedy, math",18646
Ball in Berland,1475,C,"combinatorics, graphs, math",18787
No More Inversions,1473,C,"constructive algorithms, math",11996
Strange Birthday Party,1470,A,"binary search, dp, greedy, sortings, two pointers",20095
Berpizza,1468,C,"data structures, implementation",6962
13th Labour of Heracles,1466,D,"data structures, greedy, sortings, trees",10432
Canine poetry,1466,C,"dp, greedy, strings",16748
Find The Array,1463,B,"bitmasks, constructive algorithms, greedy",17623
Close Tuples (easy version),1462,E1,"binary search, combinatorics, math, sortings, two pointers",12545
Add to Neighbour and Remove,1462,D,"greedy, math, number theory",15494
Random Events,1461,C,"dp, math, probabilities",10498
Find the Spruce,1461,B,"brute force, dp, implementation",12043
Move and Turn,1459,B,"dp, math",13234
Number into Sequence,1454,D,"constructive algorithms, math, number theory",18821
Suffix Operations,1453,B,"constructive algorithms, implementation",12721
Toy Blocks,1452,B,"binary search, greedy, math, sortings",13951
String Equality,1451,C,"dp, greedy, hashing, implementation, strings",14614
Knapsack,1446,A,"constructive algorithms, greedy, sortings",14206
Division,1444,A,"brute force, math, number theory",12083
The Delivery Dilemma,1443,C,"binary search, greedy, sortings",14229
Saving the City,1443,B,"dp, greedy, math, sortings",14782
Binary Table (Easy Version),1439,A1,"constructive algorithms, implementation",8966
Binary Search,1436,C,"binary search, combinatorics",10237
Two Round Dances,1433,E,"combinatorics, math",17296
Used Markers,1431,D,"*special, greedy",419
Polycarp and the Language of Gods,1431,B,"*special, implementation, two pointers",871
Chess Cheater,1427,B,"greedy, implementation, sortings",10415
Non-zero Segments,1426,D,"constructive algorithms, data structures, greedy, sortings",14724
Huge Boxes of Animal Toys,1425,H,constructive algorithms,3954
Flamingoes of Mystery,1425,F,interactive,4699
Arena of Greed,1425,A,"games, greedy",6026
Years,1424,G,"data structures, sortings",5184
Nice Matrix,1422,B,"greedy, implementation, math",13865
Palindromifier,1421,C,"constructive algorithms, strings",12124
Pokémon Army (easy version),1420,C1,"constructive algorithms, dp, greedy",16355
Sage's Birthday (hard version),1419,D2,"binary search, brute force, constructive algorithms, greedy, sortings, two pointers",13857
Killjoy,1419,C,"greedy, implementation, math",14314
Mortal Kombat Tower,1418,C,"dp, graphs, greedy, shortest paths",16550
Negative Prefixes,1418,B,"greedy, sortings",15837
k-Amazing Numbers,1416,A,"binary search, data structures, implementation, two pointers",11197
Bouncing Ball,1415,C,"brute force, dp, implementation",10282
Decrease the Sum of Digits,1409,D,"greedy, math",17770
Discrete Acceleration,1408,C,"binary search, dp, implementation, math, two pointers",8374
Arrays Sum,1408,B,"constructive algorithms, greedy, math",9491
Big Vova,1407,B,"brute force, greedy, math, number theory",16173
